TF	n_activating	n_repressing	n_targets	dominant_sign
FAM170A	1	0	1	activator
FERD3L	1	0	1	activator
FEV	7	1	8	activator
FEZF1	8	4	9	activator
FEZF2	6	2	8	activator
FGF2	6	5	10	activator
FHL2	4	3	7	activator
FIGLA	4	0	4	activator
FIZ1	2	0	2	activator
FLI1	88	23	94	activator
FLYWCH1	0	1	1	repressor
FOS	319	53	341	activator
FOSB	35	6	38	activator
FOSB_JUN	559	37	592	activator
FOSB_JUNB	559	37	592	activator
FOSB_JUND	559	37	592	activator
FOSL1	41	13	51	activator
FOSL1_JUN	559	37	592	activator
FOSL1_JUNB	559	37	592	activator
FOSL1_JUND	559	37	592	activator
FOSL2	38	8	42	activator
FOSL2_JUN	559	37	592	activator
FOSL2_JUNB	559	37	592	activator
FOSL2_JUND	559	37	592	activator
FOS_JUN	559	37	592	activator
FOS_JUNB	559	37	592	activator
FOS_JUND	559	37	592	activator
FOXA1	59	18	71	activator
FOXA2	120	27	134	activator
FOXA3	14	7	14	activator
FOXC1	18	1	19	activator
FOXC2	24	3	24	activator
FOXD1	3	3	6	mixed
FOXD2	4	0	4	activator
FOXD3	14	4	15	activator
FOXD4	2	0	2	activator
FOXE1	6	2	8	activator
FOXF1	8	0	8	activator
FOXF2	8	6	13	activator
FOXG1	10	11	16	repressor
FOXH1	11	3	13	activator
FOXI1	10	1	10	activator
FOXI3	2	0	2	activator
FOXJ1	19	0	19	activator
FOXJ2	1	0	1	activator
FOXJ3	2	0	2	activator
FOXK1	2	1	3	activator
FOXK2	2	0	2	activator
FOXL1	2	0	2	activator
FOXL2	17	12	26	activator
FOXM1	90	15	96	activator
FOXN1	54	4	56	activator
FOXN3	0	1	1	repressor
FOXN4	8	1	8	activator
FOXO1	219	100	279	activator
FOXO3	165	52	195	activator
FOXO4	27	10	31	activator
FOXO6	4	3	5	activator
FOXP1	25	17	32	activator
FOXP2	6	7	11	repressor
FOXP3	41	23	54	activator
FOXP4	0	3	3	repressor
FOXQ1	16	5	17	activator
FOXS1	0	3	3	repressor
FUS	4	1	4	activator
GABPA	47	7	48	activator
GATA1	127	33	147	activator
GATA2	94	16	105	activator
GATA3	178	31	193	activator
GATA4	132	21	139	activator
GATA5	27	2	27	activator
GATA6	80	13	86	activator
GATAD2B	1	0	1	activator
GBX2	7	2	8	activator
GCM1	10	0	10	activator
GCM2	2	0	2	activator
GFI1	38	31	54	activator
GFI1B	9	9	12	mixed
GLI1	131	59	178	activator
GLI2	81	75	151	activator
GLI3	33	24	43	activator
GLIS1	1	0	1	activator
GLIS3	7	1	8	activator
GMEB1	2	1	2	activator
GRHL1	0	2	2	repressor
GRHL2	8	1	9	activator
GRHL3	31	2	29	activator
GSC	12	3	14	activator
GSC2	1	0	1	activator
GSX1	3	0	3	activator
GSX2	2	0	2	activator
GTF2A1	1	0	1	activator
GTF2B	1	0	1	activator
GTF2F1	1	0	1	activator
GTF2I	22	2	22	activator
GTF2IRD1	7	0	6	activator
GTF3A	27	0	27	activator
GZF1	0	1	1	repressor
HAND1	13	4	14	activator
HAND2	29	11	40	activator
HBP1	39	11	48	activator
HCFC1	7	1	8	activator
HDAC1	15	80	83	repressor
HDAC3	15	19	27	repressor
HDAC4	15	20	24	repressor
HDAC5	3	9	10	repressor
HDAC7	3	13	13	repressor
HDAC9	5	19	19	repressor
HDGF	5	3	7	activator
HES1	57	56	92	activator
HES3	0	1	1	repressor
HES4	2	1	2	activator
HES5	0	7	7	repressor
HES6	5	7	9	repressor
HES7	0	1	1	repressor
HESX1	28	4	30	activator
HEY1	19	20	33	repressor
HEY2	13	9	19	activator
HEYL	1	5	6	repressor
HHEX	24	8	28	activator
HIC1	11	18	21	repressor
HIF1A	440	60	460	activator
HIF3A	0	6	6	repressor
HINFP	8	2	9	activator
HIPK2	2	8	9	repressor
HIRA	0	1	1	repressor
HIVEP1	7	4	10	activator
HIVEP2	10	1	11	activator
HIVEP3	6	1	6	activator
HLF	17	2	18	activator
HLX	15	5	17	activator
HMBOX1	3	3	3	mixed
HMG20B	1	0	1	activator
HMGA1	67	18	72	activator
HMGA2	39	8	42	activator
HMGB1	4	0	4	activator
HMGB2	9	4	9	activator
HMGXB4	4	4	4	mixed
HMX1	3	0	3	activator
HMX2	1	0	1	activator
HMX3	2	0	2	activator
HNF1A	146	10	152	activator
HNF1B	62	9	64	activator
HNF4A	271	36	280	activator
HNF4G	11	0	11	activator
HOPX	8	1	9	activator
HOXA1	25	3	26	activator
HOXA10	41	18	49	activator
HOXA11	4	5	8	repressor
HOXA13	12	6	16	activator
HOXA2	1	6	6	repressor
HOXA3	2	0	2	activator
HOXA4	4	0	4	activator
HOXA5	15	5	16	activator
HOXA7	12	5	13	activator
HOXA9	35	5	39	activator
HOXB1	8	3	10	activator
HOXB13	9	6	13	activator
HOXB2	13	0	13	activator
HOXB3	9	1	9	activator
HOXB4	10	1	10	activator
HOXB5	5	0	5	activator
HOXB6	2	2	4	mixed
HOXB7	20	4	23	activator
HOXB8	0	3	3	repressor
HOXB9	7	1	7	activator
HOXC10	1	1	2	mixed
HOXC11	3	2	4	activator
HOXC13	5	4	7	activator
HOXC4	3	0	3	activator
HOXC5	1	0	1	activator
HOXC6	10	3	12	activator
HOXC8	11	6	14	activator
HOXC9	3	3	4	mixed
HOXD1	7	0	7	activator
HOXD10	5	0	5	activator
HOXD11	4	0	4	activator
HOXD12	1	0	1	activator
HOXD13	16	5	20	activator
HOXD3	10	0	10	activator
HOXD4	5	0	5	activator
HOXD8	6	0	5	activator
HOXD9	2	0	2	activator
HR	93	5	94	activator
HSF1	97	22	102	activator
HSF2	21	6	25	activator
HSF4	7	7	11	mixed
HTATIP2	12	8	16	activator
ID1	64	31	77	activator
ID2	56	31	66	activator
ID3	30	17	35	activator
ID4	13	4	14	activator
IKZF1	37	27	52	activator
IKZF2	5	0	5	activator
IKZF3	5	3	6	activator
IKZF4	7	0	7	activator
IKZF5	1	0	1	activator
ING4	6	10	15	repressor
INSM1	5	2	5	activator
IRF1	150	34	168	activator
IRF2	55	17	61	activator
IRF2BPL	2	3	4	repressor
IRF3	81	11	82	activator
IRF4	49	19	59	activator
IRF5	32	10	36	activator
IRF6	16	1	15	activator
IRF7	33	4	34	activator
IRF8	60	18	68	activator
IRF9	25	4	27	activator
IRX1	9	10	19	repressor
IRX2	0	2	2	repressor
IRX3	2	2	3	mixed
IRX4	5	1	5	activator
IRX5	3	3	3	mixed
ISL1	39	3	41	activator
ISL2	1	1	2	mixed
ISX	1	1	1	mixed
JARID2	11	10	16	activator
JAZF1	0	1	1	repressor
JDP2	29	12	33	activator
JUN	1211	142	900	activator
JUNB	658	57	620	activator
JUNB_JUND	559	37	592	activator
JUND	659	53	623	activator
JUN_JUNB	559	37	592	activator
JUN_JUND	559	37	592	activator
KAT2A	0	1	1	repressor
KAT2B	12	4	15	activator
KAT5	54	12	58	activator
KAT6A	12	0	12	activator
KAT6B	7	0	7	activator
KAT7	83	0	83	activator
KAT8	4	0	4	activator
KCNIP3	14	7	16	activator
KDM2A	9	6	10	activator
KDM2B	0	4	4	repressor
KDM3B	2	0	2	activator
KDM5A	16	5	18	activator
KDM5B	35	6	36	activator
KDM5C	8	4	12	activator
KDM5D	6	0	6	activator
KLF1	29	5	29	activator
KLF10	21	13	30	activator
KLF11	22	10	27	activator
KLF12	7	5	11	activator
KLF13	9	5	13	activator
KLF14	3	2	4	activator
KLF15	23	9	27	activator
KLF16	0	2	2	repressor
KLF17	0	5	5	repressor
KLF2	52	20	66	activator
KLF3	12	8	14	activator
KLF4	96	62	128	activator
KLF5	69	14	75	activator
KLF6	52	13	60	activator
KLF7	8	2	10	activator
KLF8	19	7	21	activator
KLF9	21	11	26	activator
KMT2A	70	5	69	activator
KMT2B	15	0	15	activator
KMT2C	2	0	2	activator
KMT2D	3	0	3	activator
KMT2E	4	1	4	activator
L3MBTL1	2	1	3	activator
LBX1	3	0	3	activator
LCOR	2	2	2	mixed
LDB1	2	1	3	activator
LEF1	102	30	119	activator
LHX1	6	1	6	activator
LHX2	42	2	41	activator
LHX3	13	0	13	activator
LHX4	6	1	6	activator
LHX5	1	0	1	activator
LHX6	1	1	1	mixed
LHX8	12	1	12	activator
LHX9	3	0	3	activator
LIMD1	0	1	1	repressor
LIN28A	2	0	2	activator
LITAF	24	1	25	activator
LMO1	1	0	1	activator
LMO2	25	5	29	activator
LMO3	1	2	2	repressor
LMO4	3	4	5	repressor
LMX1A	8	1	8	activator
LMX1B	22	4	23	activator
LRRFIP1	14	6	17	activator
LYAR	0	1	1	repressor
LYL1	11	4	13	activator
MAF	63	10	64	activator
MAFA	24	2	23	activator
MAFB	44	9	46	activator
MAFF	3	1	4	activator
MAFG	7	2	8	activator
MAFK	24	3	24	activator
MAML1	3	2	5	activator
MAML2	2	0	2	activator
MAX	43	11	48	activator
MAZ	45	7	47	activator
MBD1	12	12	17	mixed
MBD2	84	21	89	activator
MBD3	0	1	1	repressor
MECOM	17	6	19	activator
MECP2	2	33	34	repressor
MED1	15	2	17	activator
MED12	1	0	1	activator
MED15	1	0	1	activator
MED23	2	0	2	activator
MED26	1	0	1	activator
MEF2A	116	9	118	activator
MEF2B	7	0	7	activator
MEF2C	86	13	89	activator
MEF2D	26	3	28	activator
MEIS1	19	7	24	activator
MEIS2	9	1	9	activator
MEIS3	3	0	3	activator
MEOX1	7	2	8	activator
MEOX2	7	1	7	activator
MESP1	1	0	1	activator
MESP2	5	4	8	activator
MID2	1	0	1	activator
MIER1	1	0	1	activator
MITF	101	18	111	activator
MIXL1	5	0	5	activator
MKX	7	2	7	activator
MLX	4	1	5	activator
MLXIP	5	0	5	activator
MLXIPL	14	3	16	activator
MNT	9	3	10	activator
MNX1	5	1	5	activator
MRTFA	4	0	4	activator
MSC	24	6	29	activator
MSGN1	1	0	1	activator
MSX1	16	13	26	activator
MSX2	25	24	47	activator
MTA1	43	16	52	activator
MTA2	4	4	6	mixed
MTA3	10	4	13	activator
MTF1	31	3	32	activator
MTF2	6	3	6	activator
MUC1	2	1	3	activator
MXD1	24	10	28	activator
MXD4	2	2	2	mixed
MXI1	6	5	8	activator
MYB	176	27	182	activator
MYBBP1A	1	0	1	activator
MYBL1	12	0	12	activator
MYBL2	47	16	52	activator
MYC	814	169	886	activator
MYCL	1	1	2	mixed
MYCN	119	35	139	activator
MYF5	27	0	27	activator
MYF6	11	3	13	activator
MYOCD	8	0	8	activator
MYOD1	136	13	143	activator
