TF	n_activating	n_repressing	n_targets	dominant_sign
PRRX2	2	1	2	activator
PTF1A	17	3	17	activator
PURA	16	7	20	activator
PURB	2	3	4	repressor
RARA	174	43	186	activator
RARB	49	10	53	activator
RARG	37	8	40	activator
RAX	3	0	3	activator
RB1	22	24	33	repressor
RBAK	2	0	2	activator
RBBP8	1	1	1	mixed
RBCK1	2	0	2	activator
RBFOX2	0	1	1	repressor
RBPJ	114	50	155	activator
RBPJL	2	0	2	activator
RCOR1	2	2	3	mixed
RCOR2	15	4	16	activator
REL	857	65	816	activator
RELA	1266	192	962	activator
RELA_RELB	750	53	797	activator
RELB	808	60	814	activator
REL_RELA	750	53	797	activator
REL_RELB	750	53	797	activator
RERE	4	0	4	activator
REST	10	78	81	repressor
RFX1	20	8	24	activator
RFX2	5	0	5	activator
RFX3	5	1	6	activator
RFX4	5	0	5	activator
RFX5	24	1	25	activator
RFX6	1	0	1	activator
RFXANK	20	1	20	activator
RFXAP	18	0	18	activator
RHOXF1	1	0	1	activator
RLF	4	0	4	activator
RNF14	1	0	1	activator
RORA	79	18	88	activator
RORB	6	0	6	activator
RORC	18	5	22	activator
RREB1	7	6	10	activator
RUNX1	179	66	196	activator
RUNX1T1	1	1	1	mixed
RUNX2	110	28	128	activator
RUNX3	39	31	69	activator
RUVBL1	0	1	1	repressor
RXRA	100	23	111	activator
RXRB	12	4	15	activator
RXRG	7	0	7	activator
RYBP	1	1	1	mixed
SALL1	6	1	6	activator
SALL2	5	0	5	activator
SALL3	9	2	10	activator
SALL4	15	6	20	activator
SAP30	1	0	1	activator
SATB1	36	15	44	activator
SATB2	24	15	32	activator
SCRT1	1	0	1	activator
SCX	13	0	13	activator
SETBP1	4	3	6	activator
SF1	11	1	12	activator
SFPQ	21	11	29	activator
SHOX	3	1	3	activator
SHOX2	6	2	7	activator
SIM1	3	1	4	activator
SIM2	8	6	11	activator
SIN3A	3	9	12	repressor
SIN3B	3	0	3	activator
SIRT1	36	46	62	repressor
SIRT6	0	2	2	repressor
SIX1	17	1	18	activator
SIX2	1	0	1	activator
SIX3	7	6	11	activator
SIX4	7	1	8	activator
SIX5	1	0	1	activator
SKI	4	1	4	activator
SKIL	13	8	20	activator
SLC2A4RG	1	0	1	activator
SMAD1	72	7	74	activator
